Word,Alternative.spelling,Freq_pm,Dom_PoS_SUBTLEX,Nletters,Nphon,Nsyll,Lemma_highest_PoS,AoA_Kup,Perc_known,AoA_Kup_lem,Perc_known_lem,AoA_Bird_lem,AoA_Bristol_lem,AoA_Cort_lem,AoA_Schock
enjoyed,enjoyed,18.16,Verb,7,5,2,enjoy,,,5.75,1.00,5.30,5.18,,6.40
enjoying,enjoying,17.02,Verb,8,6,3,enjoy,,,5.75,1.00,5.30,5.18,,6.40
enjoyment,enjoyment,1.35,Noun,9,8,3,enjoyment,8.85,1.00,8.85,1.00,6.23,,,
enjoyments,enjoyments,0.02,Noun,10,9,3,enjoyment,,,8.85,1.00,6.23,,,
enjoys,enjoys,2.94,Verb,6,5,2,enjoy,,,5.75,1.00,5.30,5.18,,6.40
enkindle,enkindle,0.04,Verb,8,8,3,enkindle,15.88,0.42,15.88,0.42,,,,
enlarge,enlarge,0.88,Verb,7,6,2,enlarge,8.26,1.00,8.26,1.00,8.50,,,
enlarged,enlarged,1.06,Verb,8,7,2,enlarge,,,8.26,1.00,8.50,,,
enlargement,enlargement,0.41,Noun,11,10,3,enlargement,9.50,1.00,9.50,1.00,,,,
enlargements,enlargements,0.08,Noun,12,11,3,enlargement,,,9.50,1.00,,,,
enlarger,enlarger,0.14,Noun,8,7,3,enlarger,11.17,0.95,11.17,0.95,,,,
enlarges,enlarges,0.04,Verb,8,8,3,enlarge,,,8.26,1.00,8.50,,,
enlarging,enlarging,0.16,Verb,9,8,3,enlarge,,,8.26,1.00,8.50,,,
enlighten,enlighten,2.12,Verb,9,7,3,enlighten,12.17,1.00,12.17,1.00,,,,
enlightening,enlightening,0.73,Adjective,12,9,4,enlightening,12.47,1.00,12.47,1.00,,,,
enlightenment,enlightenment,1.45,Noun,13,11,4,enlightenment,11.33,1.00,11.33,1.00,,11.60,,
enlightens,enlightens,0.04,Verb,10,8,3,enlighten,,,12.17,1.00,,,,
enlist,enlist,1.57,Verb,6,6,2,enlist,11.30,1.00,11.30,1.00,,,,10.80
enlisted,enlisted,3.41,Verb,8,8,3,enlist,,,11.30,1.00,,,,10.80
enlisting,enlisting,0.37,Verb,9,8,3,enlist,,,11.30,1.00,,,,10.80
enlistment,enlistment,0.29,Noun,10,10,3,enlistment,11.35,0.94,11.35,0.94,,,,
enlistments,enlistments,0.04,Noun,11,11,3,enlistment,,,11.35,0.94,,,,
enlists,enlists,0.10,Verb,7,7,2,enlist,,,11.30,1.00,,,,10.80
enliven,enliven,0.02,Verb,7,7,3,enliven,12.21,0.78,12.21,0.78,,,,
enlivened,enlivened,0.12,Verb,9,8,3,enliven,,,12.21,0.78,,,,
enlivens,enlivens,0.02,Verb,8,8,3,enliven,,,12.21,0.78,,,,
enmesh,enmesh,0.02,Verb,6,5,2,enmesh,13.38,0.36,13.38,0.36,,,,
enmity,enmity,0.31,Noun,6,6,3,enmity,15.67,0.67,15.67,0.67,,,,
ennoble,ennoble,0.08,Verb,7,6,3,ennoble,15.92,0.60,15.92,0.60,,,,
ennobles,ennobles,0.02,Verb,8,7,3,ennoble,,,15.92,0.60,,,,
ennobling,ennobling,0.08,Verb,9,7,3,ennoble,,,15.92,0.60,,,,
ennui,ennui,0.37,Noun,5,4,3,ennui,14.83,0.57,14.83,0.57,,,,
enormity,enormity,0.25,Noun,8,8,4,enormity,12.81,0.89,12.81,0.89,,,,
enormous,enormous,10.31,Adjective,8,7,3,enormous,6.53,1.00,6.53,1.00,,,,
enormousness,enormousness,0.02,Noun,12,10,4,enormousness,8.95,1.00,8.95,1.00,,,,
enough,enough,501.33,Adverb,6,4,2,enough,6.96,1.00,6.96,1.00,,,,6.13
enplane,enplane,0.02,Noun,7,6,2,enplane,12.20,0.53,12.20,0.53,,,,
enquire,enquire,0.31,Verb,7,6,3,inquire,,,10.40,1.00,,,,10.70
enquired,enquired,0.02,Verb,8,7,3,inquire,,,10.40,1.00,,,,10.70
enquirer,enquirer,0.69,Noun,8,7,3,inquirer,,,10.72,0.95,,,,
enquires,enquires,0.02,Verb,8,7,3,inquire,,,10.40,1.00,,,,10.70
enquiries,enquiries,0.24,Noun,9,8,4,inquiry,,,11.37,1.00,,9.54,,
enquiring,enquiring,0.12,Verb,9,8,4,inquire,,,10.40,1.00,,,,10.70
enquiry,enquiry,0.18,Noun,7,7,4,inquiry,,,11.37,1.00,,9.54,,
enrage,enrage,0.27,Verb,6,5,2,enrage,9.58,1.00,9.58,1.00,,10.87,,
enrages,enrages,0.04,Verb,7,7,3,enrage,,,9.58,1.00,,10.87,,
enrapture,enrapture,0.02,Verb,9,7,3,enrapture,12.12,0.89,12.12,0.89,,,,
enraptured,enraptured,0.16,Adjective,10,8,3,enraptured,14.82,0.85,14.82,0.85,,,,
enrich,enrich,0.27,Verb,6,5,2,enrich,10.89,1.00,10.89,1.00,10.58,,,
enriched,enriched,0.41,Verb,8,6,2,enrich,,,10.89,1.00,10.58,,,
enriches,enriches,0.04,Verb,8,7,3,enrich,,,10.89,1.00,10.58,,,
enrichment,enrichment,0.14,Noun,10,9,3,enrichment,11.14,1.00,11.14,1.00,,,,
enrichments,enrichments,0.02,Noun,11,10,3,enrichment,,,11.14,1.00,,,,
enroll,enrol,0.67,Verb,6,5,2,enroll,10.30,1.00,10.30,1.00,,,,8.87
enrolled,enrolled,1.12,Verb,8,6,2,enroll,,,10.30,1.00,,,,8.87
enrolling,enrolling,0.20,Verb,9,7,3,enroll,,,10.30,1.00,,,,8.87
enrolls,enrols,0.02,Noun,7,6,2,enrolls,7.94,0.94,7.94,0.94,,,,
enrolment,enrolment,0.14,Noun,9,9,3,enrolment,9.31,0.84,9.31,0.84,,,,
ensconce,ensconce,#N/A,#N/A,8,7,2,ensconce,14.58,0.63,14.58,0.63,,,,
ensconced,ensconced,0.22,Adjective,9,8,2,ensconced,14.77,0.59,14.77,0.59,,,,
ensemble,ensemble,1.12,Noun,8,8,3,ensemble,12.25,1.00,12.25,1.00,,11.34,,
ensembles,ensembles,0.06,Noun,9,9,3,ensemble,,,12.25,1.00,,11.34,,
enshrine,enshrine,0.04,Noun,8,6,2,enshrine,12.29,0.78,12.29,0.78,,,,
enshrined,enshrined,0.16,Verb,9,7,2,enshrine,,,12.29,0.78,,,,
enshrinement,enshrinement,0.02,Noun,12,10,3,enshrinement,13.97,0.81,13.97,0.81,,,,
enshrines,enshrines,0.02,Verb,9,7,2,enshrine,,,12.29,0.78,,,,
enshroud,enshroud,0.02,Verb,8,6,2,enshroud,13.71,0.70,13.71,0.70,,,,
ensign,ensign,3.55,Name,6,5,2,ensign,13.58,0.81,13.58,0.81,,,,12.85
ensigns,ensigns,0.10,Noun,7,6,2,ensign,,,13.58,0.81,,,,12.85
enslave,enslave,0.67,Verb,7,6,2,enslave,9.58,1.00,9.58,1.00,,,,
enslaved,enslaved,0.80,Verb,8,7,2,enslave,,,9.58,1.00,,,,
enslavement,enslavement,0.18,Noun,11,10,3,enslavement,10.58,1.00,10.58,1.00,,,,
enslaver,enslaver,0.06,Noun,8,7,3,enslaver,11.22,0.95,11.22,0.95,,,,
enslavers,enslavers,0.02,Noun,9,8,3,enslaver,,,11.22,0.95,,,,
enslaves,enslaves,0.04,Verb,8,7,2,enslave,,,9.58,1.00,,,,
enslaving,enslaving,0.14,Verb,9,8,3,enslave,,,9.58,1.00,,,,
ensnare,ensnare,0.12,Verb,7,6,2,ensnare,11.35,1.00,11.35,1.00,,,,
ensue,ensue,0.20,Verb,5,4,2,ensue,12.11,0.90,12.11,0.90,,,,
ensued,ensued,0.31,Verb,6,5,2,ensue,,,12.11,0.90,,,,
ensues,ensues,0.18,Verb,6,5,2,ensue,,,12.11,0.90,,,,
ensuing,ensuing,0.20,Adjective,7,6,3,ensuing,12.72,1.00,12.72,1.00,,,,
ensure,ensure,4.96,Verb,6,5,2,ensure,11.11,1.00,11.11,1.00,,10.32,,10.70
ensured,ensured,0.31,Verb,7,6,2,ensure,,,11.11,1.00,,10.32,,10.70
ensures,ensures,0.24,Verb,7,6,2,ensure,,,11.11,1.00,,10.32,,10.70
ensuring,ensuring,0.45,Verb,8,7,3,ensure,,,11.11,1.00,,10.32,,10.70
entail,entail,0.57,Verb,6,5,2,entail,11.69,0.89,11.69,0.89,,11.39,,
entailed,entailed,0.12,Verb,8,6,2,entail,,,11.69,0.89,,11.39,,
entails,entails,0.43,Verb,7,6,2,entail,,,11.69,0.89,,11.39,,
entangle,entangle,0.12,Verb,8,8,3,entangle,11.00,1.00,11.00,1.00,,,,
entanglement,entanglement,0.16,Noun,12,12,4,entanglement,10.79,1.00,10.79,1.00,,,,
entanglements,entanglements,0.18,Noun,13,13,4,entanglement,,,10.79,1.00,,,,
entendre,entendre,0.20,Noun,8,8,3,entendre,14.85,0.72,14.85,0.72,,,,
entendres,entendres,0.08,Noun,9,9,3,entendre,,,14.85,0.72,,,,
entente,entente,0.02,Noun,7,6,2,entente,14.00,0.39,14.00,0.39,,,,
enter,enter,29.73,Verb,5,4,2,enter,5.67,1.00,5.67,1.00,6.13,,,5.68
entered,entered,14.65,Verb,7,5,2,enter,,,5.67,1.00,6.13,,,5.68
entering,entering,11.53,Verb,8,6,3,enter,,,5.67,1.00,6.13,,,5.68
enteritis,enteritis,0.02,Noun,9,8,4,enteritis,16.20,0.53,16.20,0.53,,,,
enterprise,enterprise,8.10,Noun,10,8,3,enterprise,12.89,1.00,12.89,1.00,,10.96,,
enterpriser,enterpriser,0.06,Noun,11,9,4,enterpriser,13.06,0.94,13.06,0.94,,,,
enterprises,enterprises,2.16,Noun,11,10,4,enterprise,,,12.89,1.00,,10.96,,
enterprising,enterprising,0.51,Adjective,12,10,4,enterprising,12.67,1.00,12.67,1.00,,,,
enters,enters,3.80,Verb,6,5,2,enter,,,5.67,1.00,6.13,,,5.68
entertain,entertain,6.14,Verb,9,7,3,entertain,7.50,1.00,7.50,1.00,7.20,,,
entertained,entertained,2.29,Verb,11,8,3,entertain,,,7.50,1.00,7.20,,,
entertainer,entertainer,1.65,Noun,11,8,4,entertainer,7.85,1.00,7.85,1.00,,,,
entertainers,entertainers,0.73,Noun,12,9,4,entertainer,,,7.85,1.00,,,,
entertaining,entertaining,5.65,Adjective,12,9,4,entertaining,8.84,1.00,8.84,1.00,7.98,,,
entertainment,entertainment,12.55,Noun,13,11,4,entertainment,7.39,1.00,7.39,1.00,,,,
entertainments,entertainments,0.20,Noun,14,12,4,entertainment,,,7.39,1.00,,,,
entertains,entertains,0.27,Verb,10,8,3,entertain,,,7.50,1.00,7.20,,,
enthralling,enthralling,0.14,Adjective,11,8,3,enthralling,13.72,0.86,13.72,0.86,,,,
enthronement,enthronement,0.08,Noun,12,10,3,enthronement,14.21,0.78,14.21,0.78,,,,
enthusiasm,enthusiasm,4.49,Noun,10,10,5,enthusiasm,9.05,1.00,9.05,1.00,,10.28,,
enthusiasms,enthusiasms,0.18,Noun,11,11,5,enthusiasm,,,9.05,1.00,,10.28,,
enthusiast,enthusiast,0.57,Noun,10,9,4,enthusiast,8.78,1.00,8.78,1.00,,,,
enthusiastic,enthusiastic,2.78,Adjective,12,11,5,enthusiastic,9.17,1.00,9.17,1.00,,,,
enthusiasts,enthusiasts,0.29,Noun,11,10,4,enthusiast,,,8.78,1.00,,,,
entice,entice,0.51,Verb,6,5,2,entice,12.47,0.94,12.47,0.94,,,,11.49
enticed,enticed,0.16,Verb,7,6,2,entice,,,12.47,0.94,,,,11.49
enticement,enticement,0.08,Noun,10,9,3,enticement,11.89,0.95,11.89,0.95,,,,
enticements,enticements,0.02,Noun,11,10,3,enticement,,,11.89,0.95,,,,
entices,entices,0.04,Verb,7,7,3,entice,,,12.47,0.94,,,,11.49
entire,entire,79.80,Adjective,6,5,3,entire,7.22,1.00,7.22,1.00,8.86,,,7.34
entirety,entirety,0.47,Noun,8,7,4,entirety,9.90,1.00,9.90,1.00,,,,
entities,entities,0.59,Noun,8,7,3,entity,,,9.50,1.00,,,,
entitle,entitle,0.43,Verb,7,7,3,entitle,12.37,1.00,12.37,1.00,,,,
entitled,entitled,11.49,Verb,8,8,3,entitle,,,12.37,1.00,,,,
entitlement,entitlement,0.24,Noun,11,11,4,entitlement,12.62,1.00,12.62,1.00,,,,
entitles,entitles,0.55,Verb,8,8,3,entitle,,,12.37,1.00,,,,
entity,entity,1.69,Noun,6,6,3,entity,9.50,1.00,9.50,1.00,,,,
entomb,entomb,0.10,Verb,6,5,2,entomb,12.89,0.95,12.89,0.95,,,,
entombed,entombed,0.27,Verb,8,6,2,entomb,,,12.89,0.95,,,,
entombment,entombment,0.06,Noun,10,9,3,entombment,12.11,1.00,12.11,1.00,,,,
entomological,entomological,0.08,Adjective,13,13,6,entomological,14.12,0.80,14.12,0.80,,,,
entomologist,entomologist,0.37,Noun,12,12,5,entomologist,14.86,0.74,14.86,0.74,,,,
entomologists,entomologists,0.02,Noun,13,13,5,entomologist,,,14.86,0.74,,,,
entomology,entomology,0.24,Noun,10,10,5,entomology,12.80,0.83,12.80,0.83,,,,
entourage,entourage,1.35,Noun,9,7,3,entourage,12.06,0.95,12.06,0.95,,,,
entrails,entrails,0.88,Noun,8,7,2,entrails,14.06,0.89,14.06,0.89,,,,13.07
entrainment,entrainment,0.02,Noun,11,10,3,entrainment,12.17,0.63,12.17,0.63,,,,
entrance,entrance,15.69,Noun,8,7,2,entrance,6.84,1.00,6.84,1.00,,7.45,,6.54
entranced,entranced,0.12,Verb,9,8,2,entrance,,,6.84,1.00,,7.45,,6.54
entrances,entrances,1.14,Noun,9,9,3,entrance,,,6.84,1.00,,7.45,,6.54
entranceway,entranceway,0.02,Noun,11,9,3,entranceway,10.37,1.00,10.37,1.00,,,,
entrancing,entrancing,0.24,Verb,10,9,3,entrance,,,6.84,1.00,,7.45,,6.54
entrant,entrant,0.02,Noun,7,7,2,entrant,12.41,0.94,12.41,0.94,,,,
entrants,entrants,0.04,Noun,8,8,2,entrant,,,12.41,0.94,,,,
entrap,entrap,0.18,Verb,6,6,2,entrap,11.11,1.00,11.11,1.00,,,,
entrapment,entrapment,0.84,Noun,10,10,3,entrapment,15.00,0.89,15.00,0.89,,,,
entrapments,entrapments,0.02,#N/A,11,11,3,entrapment,,,15.00,0.89,,,,
entreat,entreat,0.41,Verb,7,6,2,entreat,13.25,0.67,13.25,0.67,,,,
entreaties,entreaties,0.02,Noun,10,8,3,entreaty,,,13.60,0.83,,,,
entreats,entreats,0.06,Verb,8,7,2,entreat,,,13.25,0.67,,,,
entreaty,entreaty,0.04,Noun,8,7,3,entreaty,13.60,0.83,13.60,0.83,,,,
entrechat,entrechat,0.02,Verb,9,8,3,entrechat,15.00,0.11,15.00,0.11,,,,
entrechats,entrechats,0.04,Verb,10,9,3,entrechat,,,15.00,0.11,,,,
entree,entree,0.82,Noun,6,5,2,entree,11.22,0.95,11.22,0.95,,,,9.49
entrees,entrees,0.67,Noun,7,6,2,entree,,,11.22,0.95,,,,9.49
entrepreneur,entrepreneur,1.08,Noun,12,10,4,entrepreneur,12.16,1.00,12.16,1.00,,,,
entrepreneurial,entrepreneurial,0.18,Adjective,15,13,6,entrepreneurial,13.67,0.95,13.67,0.95,,,,
entrepreneurs,entrepreneurs,0.25,Noun,13,11,4,entrepreneur,,,12.16,1.00,,,,
entries,entries,1.18,Noun,7,6,2,entry,,,7.00,1.00,,6.66,,7.96
entropy,entropy,0.22,Noun,7,7,3,entropy,15.42,0.63,15.42,0.63,,,,
entrust,entrust,0.73,Verb,7,7,2,entrust,11.89,1.00,11.89,1.00,,,,
entrusted,entrusted,1.69,Verb,9,9,3,entrust,,,11.89,1.00,,,,
entrusting,entrusting,0.20,Verb,10,9,3,entrust,,,11.89,1.00,,,,
entrusts,entrusts,0.06,Verb,8,8,2,entrust,,,11.89,1.00,,,,
entry,entry,12.16,Noun,5,5,2,entry,7.00,1.00,7.00,1.00,,6.66,,7.96
entryway,entryway,0.16,Noun,8,7,3,entryway,8.17,1.00,8.17,1.00,,,,
entryways,entryways,0.06,Noun,9,8,3,entryway,,,8.17,1.00,,,,
entwine,entwine,0.16,Verb,7,6,2,entwine,11.18,0.89,11.18,0.89,,,,
entwined,entwined,0.39,Verb,8,7,2,entwine,,,11.18,0.89,,,,
enucleated,enucleated,0.02,Adjective,10,10,5,enucleated,14.70,0.53,14.70,0.53,,,,
enumerate,enumerate,0.02,Verb,9,7,4,enumerate,12.72,0.90,12.72,0.90,,,,
enumeration,enumeration,0.02,Noun,11,9,5,enumeration,14.53,0.79,14.53,0.79,,,,
enunciate,enunciate,0.14,Verb,9,8,4,enunciate,11.64,0.78,11.64,0.78,,,,
enunciates,enunciates,0.02,Verb,10,9,4,enunciate,,,11.64,0.78,,,,
enunciating,enunciating,0.06,Verb,11,10,5,enunciate,,,11.64,0.78,,,,
enunciation,enunciation,0.10,Noun,11,10,5,enunciation,12.24,0.94,12.24,0.94,,13.23,,
envelop,envelop,0.08,Verb,7,7,3,envelop,9.28,1.00,9.28,1.00,,,,
envelope,envelope,10.06,Noun,8,7,3,envelope,6.25,1.00,6.25,1.00,,,,
enveloped,enveloped,0.33,Verb,9,8,3,envelop,,,9.28,1.00,,,,
envelopes,envelopes,1.43,Noun,9,8,3,envelope,,,6.25,1.00,,,,
enveloping,enveloping,0.08,Verb,10,9,4,envelop,,,9.28,1.00,,,,
envelops,envelops,0.08,Verb,8,8,3,envelop,,,9.28,1.00,,,,
enviable,enviable,0.22,Adjective,8,8,4,enviable,12.53,0.94,12.53,0.94,,,,
envied,envied,1.00,Verb,6,5,2,envy,,,8.37,1.00,8.46,8.20,,11.90
envies,envies,0.20,Verb,6,5,2,envy,,,8.37,1.00,8.46,8.20,,11.90
envious,envious,1.25,Adjective,7,6,3,envious,9.26,1.00,9.26,1.00,,,,
environment,environment,12.78,Noun,11,11,4,environment,9.85,1.00,9.85,1.00,,,,
environmental,environmental,3.27,Adjective,13,13,5,environmental,9.83,1.00,9.83,1.00,,,,
environmentalism,environmentalism,0.06,Noun,16,17,7,environmentalism,13.50,0.95,13.50,0.95,,,,
environmentalist,environmentalist,0.25,Noun,16,16,6,environmentalist,12.89,1.00,12.89,1.00,,,,
environmentalists,environmentalists,0.29,Noun,17,17,6,environmentalist,,,12.89,1.00,,,,
environments,environments,0.63,Noun,12,12,4,environment,,,9.85,1.00,,,,
environs,environs,0.20,Noun,8,8,3,environs,13.87,0.75,13.87,0.75,,,,
envisage,envisage,0.02,Verb,8,7,3,envisage,12.64,0.74,12.64,0.74,,,,
envisaged,envisaged,0.10,Verb,9,8,3,envisage,,,12.64,0.74,,,,
envision,envision,0.53,Verb,8,7,3,envision,11.72,1.00,11.72,1.00,,,,
envisioned,envisioned,0.49,Verb,10,8,3,envision,,,11.72,1.00,,,,
envisioning,envisioning,0.08,Verb,11,9,4,envision,,,11.72,1.00,,,,
envisions,envisions,0.06,Verb,9,8,3,envision,,,11.72,1.00,,,,
envoy,envoy,0.86,Noun,5,4,2,envoy,13.11,0.95,13.11,0.95,,,,11.29
envoys,envoys,0.20,Noun,6,5,2,envoy,,,13.11,0.95,,,,11.29
envy,envy,9.55,Verb,4,4,2,envy,8.37,1.00,8.37,1.00,8.46,8.20,,11.90
envying,envying,0.24,Verb,7,6,3,envy,,,8.37,1.00,8.46,8.20,,11.90
enzymatic,enzymatic,0.06,Adjective,9,9,4,enzymatic,14.14,0.74,14.14,0.74,,,,
enzyme,enzyme,1.06,Noun,6,5,2,enzyme,13.77,1.00,13.77,1.00,,,,12.64
enzymes,enzymes,0.92,Noun,7,6,2,enzyme,,,13.77,1.00,,,,12.64
eohippus,eohippus,0.04,Noun,8,7,4,eohippus,16.00,0.42,16.00,0.42,,,,
eon,aeon,0.25,Noun,3,3,2,eon,14.06,0.95,14.06,0.95,,,,
eons,aeons,0.86,Noun,4,4,2,eon,,,14.06,0.95,,,,
eosin,eosin,0.02,Noun,5,5,3,eosin,15.00,0.10,15.00,0.10,,,,
eparch,eparch,0.04,Noun,6,5,2,eparch,16.75,0.22,16.75,0.22,,,,
epaulet,epaulette,0.06,Noun,7,6,3,epaulet,15.45,0.58,15.45,0.58,,,,
epaulets,epaulettes,0.33,Noun,8,7,3,epaulet,,,15.45,0.58,,,,
epaulette,epaulette,#N/A,#N/A,9,7,4,epaulette,13.75,0.38,13.75,0.38,,,,
epaulettes,epaulettes,0.02,Noun,10,8,4,epaulet,,,15.45,0.58,,,,
epergne,epergne,#N/A,#N/A,7,5,2,epergne,18.00,0.05,18.00,0.05,,,,
ephedrine,ephedrine,0.14,Noun,9,7,3,ephedrine,14.82,0.89,14.82,0.89,,,,
ephemera,ephemera,0.04,Noun,8,7,4,ephemera,15.36,0.78,15.36,0.78,,,,
ephemeral,ephemeral,0.20,Adjective,9,7,4,ephemeral,14.47,0.83,14.47,0.83,,,,
epic,epic,2.35,Adjective,4,4,2,epic,10.86,1.00,10.86,1.00,11.41,,,10.41
epical,epical,0.02,Adjective,6,6,3,epical,14.17,0.57,14.17,0.57,,,,
epicenter,epicentre,0.31,Adjective,9,8,4,epicenter,12.35,0.89,12.35,0.89,,,,
epics,epics,0.06,Noun,5,5,2,epic,,,10.86,1.00,11.41,,,10.41
epicure,epicure,0.04,Noun,7,7,3,epicure,17.17,0.63,17.17,0.63,,12.89,,
epicurean,epicurean,0.02,Adjective,9,10,5,epicurean,16.25,0.67,16.25,0.67,,,,
epicureans,epicureans,0.02,Noun,10,11,5,epicurean,,,16.25,0.67,,,,
epicures,epicures,0.04,Verb,8,8,3,epicure,,,17.17,0.63,,12.89,,
epidemic,epidemic,3.41,Noun,8,8,4,epidemic,11.05,1.00,11.05,1.00,10.58,,,
epidemics,epidemics,0.20,Noun,9,9,4,epidemic,,,11.05,1.00,10.58,,,
epidemiological,epidemiological,0.04,Adjective,15,15,8,epidemiological,15.33,0.95,15.33,0.95,,,,
epidemiologist,epidemiologist,0.06,Noun,14,14,7,epidemiologist,15.60,0.83,15.60,0.83,,,,
epidemiologists,epidemiologists,0.02,Noun,15,15,7,epidemiologist,,,15.60,0.83,,,,
epidemiology,epidemiology,0.14,Noun,12,12,7,epidemiology,16.20,0.79,16.20,0.79,,,,
epidermal,epidermal,0.20,Adjective,9,8,4,epidermal,12.12,0.94,12.12,0.94,,,,
epidermis,epidermis,0.29,Noun,9,8,4,epidermis,13.44,1.00,13.44,1.00,,,,
epidiascope,epidiascope,0.04,Noun,11,9,5,epidiascope,17.43,0.35,17.43,0.35,,,,
epidural,epidural,0.55,Noun,8,7,4,epidural,13.00,0.95,13.00,0.95,,,,
epidurals,epidurals,0.02,Noun,9,10,4,epidural,,,13.00,0.95,,,,
epiglottis,epiglottis,0.12,Noun,10,9,4,epiglottis,15.67,0.47,15.67,0.47,,,,
epigram,epigram,0.06,Noun,7,7,3,epigram,12.67,0.50,12.67,0.50,,,,
epigrams,epigrams,0.02,Noun,8,8,3,epigram,,,12.67,0.50,,,,
epilepsy,epilepsy,1.04,Noun,8,8,4,epilepsy,12.39,1.00,12.39,1.00,,,,
epileptic,epileptic,1.20,Adjective,9,9,4,epileptic,12.35,0.94,12.35,0.94,,,,
epileptics,epileptics,0.02,Noun,10,10,4,epileptic,,,12.35,0.94,,,,
epilogue,epilogue,0.12,Noun,8,6,3,epilogue,12.41,0.94,12.41,0.94,,,,
epinephrine,epinephrine,1.16,Noun,11,9,4,epinephrine,14.85,0.59,14.85,0.59,,,,
epiphanies,epiphanies,0.08,Noun,10,8,4,epiphany,,,13.74,1.00,,,,
epiphany,epiphany,1.29,Noun,8,7,4,epiphany,13.74,1.00,13.74,1.00,,,,
epiphenomenalism,epiphenomenalism,0.02,Noun,16,16,8,epiphenomenalism,16.40,0.28,16.40,0.28,,,,
epiphyte,epiphyte,0.02,Noun,8,6,3,epiphyte,14.40,0.26,14.40,0.26,,,,
epiphytes,epiphytes,0.02,Noun,9,7,3,epiphyte,,,14.40,0.26,,,,
episiotomy,episiotomy,0.02,Noun,10,10,6,episiotomy,18.57,0.67,18.57,0.67,,,,
episode,episode,12.29,Noun,7,6,3,episode,7.83,1.00,7.83,1.00,,,,
episodes,episodes,2.06,Noun,8,7,3,episode,,,7.83,1.00,,,,
episodic,episodic,0.02,Adjective,8,8,4,episodic,12.87,0.83,12.87,0.83,,,,
epistemic,epistemic,0.16,Adjective,9,9,4,epistemic,16.22,0.43,16.22,0.43,,,,
epistemological,epistemological,0.02,Adjective,15,15,7,epistemological,17.67,0.47,17.67,0.47,,,,
epistle,epistle,0.10,Noun,7,6,3,epistle,12.62,0.65,12.62,0.65,,,,
epistles,epistles,0.02,Noun,8,7,3,epistle,,,12.62,0.65,,,,
epitaph,epitaph,0.51,Noun,7,6,3,epitaph,12.59,0.85,12.59,0.85,,12.02,,
epitaphs,epitaphs,0.04,Noun,8,7,3,epitaph,,,12.59,0.85,,12.02,,
epithalamium,epithalamium,#N/A,#N/A,12,11,6,epithalamium,17.25,0.38,17.25,0.38,,,,
epithelial,epithelial,0.12,Adjective,10,9,4,epithelial,15.00,0.61,15.00,0.61,,,,
epithelium,epithelium,0.04,Noun,10,9,5,epithelium,17.00,0.67,17.00,0.67,,,,
epithet,epithet,0.14,Noun,7,6,3,epithet,14.62,0.72,14.62,0.72,,,,
epithets,epithets,0.12,Noun,8,7,3,epithet,,,14.62,0.72,,,,
epitome,epitome,0.43,Noun,7,7,4,epitome,13.88,0.94,13.88,0.94,,,,
epitomize,epitomise,0.04,Verb,9,8,4,epitomize,16.06,0.84,16.06,0.84,,,,
epitomizes,epitomises,0.06,Verb,10,10,5,epitomize,,,16.06,0.84,,,,
epoch,epoch,0.14,Noun,5,4,2,epoch,13.13,0.79,13.13,0.79,,,,
epochal,epochal,0.06,Adjective,7,6,3,epochal,15.80,0.56,15.80,0.56,,,,
epoxies,epoxies,0.02,Verb,7,7,3,epoxy,,,12.12,0.84,,,,
epoxy,epoxy,0.18,Adjective,5,6,3,epoxy,12.12,0.84,12.12,0.84,,,,
epsilon,epsilon,0.33,Noun,7,7,3,epsilon,15.67,0.67,15.67,0.67,,,,
epsilons,epsilons,0.04,Noun,8,8,3,epsilon,,,15.67,0.67,,,,
equability,equability,#N/A,#N/A,10,10,5,equability,13.79,0.74,13.79,0.74,,,,
equal,equal,13.37,Adjective,5,5,2,equal,6.47,1.00,6.47,1.00,,,,6.75
equaled,equalled,0.20,Verb,7,6,2,equal,,,6.47,1.00,,,,6.75
equality,equality,1.90,Noun,8,8,4,equality,10.27,1.00,10.27,1.00,,,,
equalization,equalisation,0.06,Noun,12,11,5,equalization,11.00,1.00,11.00,1.00,,,,
equalize,equalise,0.20,Verb,8,7,3,equalize,10.06,1.00,10.06,1.00,,,,
equalized,equalised,0.08,Verb,9,8,3,equalize,,,10.06,1.00,,,,
equalizer,equaliser,0.41,Noun,9,8,4,equalizer,11.50,1.00,11.50,1.00,,,,
equalizes,equalises,0.02,Verb,9,9,4,equalize,,,10.06,1.00,,,,
equalizing,equalising,0.08,Adjective,10,9,4,equalizing,12.61,1.00,12.61,1.00,,,,
equals,equals,4.59,Verb,6,6,2,equal,,,6.47,1.00,,,,6.75
equanimity,equanimity,0.06,Noun,10,10,5,equanimity,12.67,0.47,12.67,0.47,,13.23,,
equate,equate,0.39,Verb,6,5,2,equate,10.67,0.95,10.67,0.95,,,,
equated,equated,0.10,Verb,7,7,3,equate,,,10.67,0.95,,,,
equates,equates,0.02,Verb,7,6,2,equate,,,10.67,0.95,,,,
equating,equating,0.06,Verb,8,7,3,equate,,,10.67,0.95,,,,
equation,equation,3.49,Noun,8,7,3,equation,8.79,1.00,8.79,1.00,,,,
equations,equations,0.98,Noun,9,8,3,equation,,,8.79,1.00,,,,
equator,equator,0.61,Noun,7,6,3,equator,8.59,0.94,8.59,0.94,,,,
